,commands,torques,positions,velocities
83,[0.5],[-0.021920950906815184],[21.9685201726445],[83.08489064698168]
84,[0.5],[-0.021920950906815184],[22.316078257585474],[83.41394038583357]
85,[0.5],[-0.021920950906815184],[22.66497128834966],[83.73432738340459]
86,[0.5],[-0.021920950906815184],[23.015002486558522],[84.00748757012738]
87,[0.5],[-0.021920950906815184],[23.365835040051632],[84.19981283834639]
88,[0.5],[-0.021920950906815184],[23.71703139643921],[84.28712553301867]
89,[0.5],[-0.021920950906815184],[24.068106978977898],[84.258139809285]
90,[0.5],[-0.021920950906815184],[24.41859123683507],[84.11622188572146]
91,[0.5],[-0.021920950906815184],[24.76808721727356],[83.87903530523806]
92,[0.5],[-0.021920950906815184],[25.116320916157726],[83.57608773219962]
93,[0.5],[-0.021920950906815184],[25.463173584542847],[83.24464041242905]
94,[0.5],[-0.021920950906815184],[25.80869335283917],[82.9247443911176]
95,[0.5],[-0.021920950906815184],[26.153086015633825],[82.65423907071673]
96,[0.5],[-0.021920950906815184],[26.49668770013526],[82.46440428034441]
97,[0.5],[-0.021920950906815184],[26.839923929836225],[82.37669512823139]
98,[0.5],[-0.021920950906815184],[27.183260300870057],[82.40072904811962]
99,[0.5],[-0.021920950906815184],[27.527149966103476],[82.53351965602054]
100,[0.5],[-0.021920950906815184],[27.871982814843918],[82.75988369770586]
101,[0.5],[-0.021920950906815184],[28.21804095295855],[83.05395314751192]
102,[0.5],[-0.021920950906815184],[28.565464884496713],[83.38174356915954]
103,[0.5],[-0.021920950906815184],[28.914234471242562],[83.70470081900402]
104,[0.5],[-0.021920950906815184],[29.264167945456105],[83.9840338112505]
105,[0.5],[-0.021920950906815184],[29.614940643164903],[84.18544745011175]
106,[0.5],[-0.021920950906815184],[29.966122622100237],[84.28367494448027]
107,[0.5],[-0.021920950906815184],[30.317231248159597],[84.26607025424693]
108,[0.5],[-0.021920950906815184],[30.66779190461301],[84.13455754881905]
109,[0.5],[-0.021920950906815184],[31.01739810707938],[83.90548859192839]
110,[0.5],[-0.021920950906815184],[31.365762188424725],[83.6073795228827]
111,[0.5],[-0.021920950906815184],[31.71274947588953],[83.27694899155372]
112,[0.5],[-0.021920950906815184],[32.05839198343828],[82.95420181169979]
113,[0.5],[-0.021920950906815184],[32.40288113876904],[82.67739727938238]
114,[0.5],[-0.021920950906815184],[32.74654203232493],[82.47861445341448]
115,[0.5],[-0.021920950906815184],[33.08979357725991],[82.38037078439582]
116,[0.5],[-0.021920950906815184],[33.43309976843698],[82.39348588249696]
117,[0.5],[-0.021920950906815184],[33.77691725681679],[82.51619721115269]
118,[0.5],[-0.021920950906815184],[34.121644159086095],[82.7344565446335]
119,[0.5],[-0.021920950906815184],[34.46757473009684],[83.02333704257887]
120,[0.5],[-0.021920950906815184],[34.81486431942493],[83.34950143874045]
121,[0.5],[-0.021920950906815184],[35.163508734694105],[83.67465966460185]
122,[0.5],[-0.021920950906815184],[35.513341395911084],[83.95983869207501]
123,[0.5],[-0.021920950906815184],[35.864050144826216],[84.17009973963115]
124,[0.5],[-0.021920950906815184],[36.215213150256204],[84.27912130319699]
125,[0.5],[-0.021920950906815184],[36.566350299778975],[84.27291588546497]
126,[0.5],[-0.021920950906815184],[36.916983484314436],[84.15196428851111]
127,[0.5],[-0.021920950906815184],[37.26669717109696],[83.93128482780574]
128,[0.5],[-0.021920950906815184],[37.6151903551817],[83.63836418033817]
129,[0.5],[-0.021920950906815184],[37.96231256933023],[83.30933139564607]
130,[0.5],[-0.021920950906815184],[38.308079640473046],[82.98409707427662]
131,[0.5],[-0.021920950906815184],[38.65266838323117],[82.70129826194989]
132,[0.5],[-0.021920950906815184],[38.99639247174965],[82.49378124443479]
133,[0.5],[-0.021920950906815184],[39.33966374546465],[82.3851056915996]
134,[0.5],[-0.021920950906815184],[39.682944100136346],[82.38728512120768]
135,[0.5],[-0.021920950906815184],[40.02669319886257],[82.49978369429354]
136,[0.5],[-0.021920950906815184],[40.37131695513879],[82.70970150629324]
137,[0.5],[-0.021920950906815184],[40.71712143933249],[82.99307620648766]
138,[0.5],[-0.021920950906815184],[41.06427664936806],[83.31725040853846]
139,[0.5],[-0.021920950906815184],[41.41279431034354],[83.64423863411551]
140,[0.5],[-0.021920950906815184],[41.76252318877045],[83.9349308224581]
141,[0.5],[-0.021920950906815184],[42.113163973270936],[84.15378828011646]
142,[0.5],[-0.021920950906815184],[42.46430343324725],[84.27347039431656]
143,[0.5],[-0.021920950906815184],[42.81546455290326],[84.2786687174408]
144,[0.5],[-0.021920950906815184],[43.16616630873126],[84.16842139872209]
145,[0.5],[-0.021920950906815184],[43.515984614973],[83.95639349801606]
146,[0.5],[-0.021920950906815184],[43.86460547160182],[83.66900559091746]
147,[0.5],[-0.021920950906815184],[44.211862765950855],[83.3417506437677]
148,[0.5],[-0.021920950906815184],[44.557756086053494],[83.01439682463358]
149,[0.5],[-0.021920950906815184],[44.90244740265931],[82.72591598539654]
150,[0.5],[-0.021920950906815184],[45.24623860490334],[82.50988853856677]
